source_file,producer,item,ano_raw,best_pod,best_score,final_pod,final_kind,reason
222 borgoña_blancos.pdf,Arnaud Ente,Initiales BB,2022,POD015933,0.6873,POD015933,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Arnaud Ente,Meursault Clos du Cromin,2022,POD017044,0.71,POD017044,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Arnaud Ente,Meursault Les Tillets,2022,POD017045,0.6855,POD017045,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Domaine de Villaine,Bouzeron,2022,POD011639,0.5716,POD_TEMP_BM2_0001,temp_pod,low_score
222 borgoña_blancos.pdf,Raveneau,Chablis,2019,POD017285,0.7111,POD017285,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Roulot,Meix Chavaux,2019,POD017294,0.6975,POD017294,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Arnaud Ente,Fourchaume 1er Cru,2022,POD015942,0.5769,POD_TEMP_BM2_0002,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,Arnaud Ente,Montmains 1er Cru,2022,POD015939,0.5398,POD_TEMP_BM2_0003,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,Arnaud Ente,Montée de Tonnerre 1er Cru,2022,POD015942,0.5563,POD_TEMP_BM2_0004,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,Arnaud Ente,Tête d’Or,2022,POD015939,0.5706,POD_TEMP_BM2_0005,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,Arnaud Ente,Tête d’Or (1.5L),2022,POD015942,0.5936,POD_TEMP_BM2_0006,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,Hospices de Beaune,Meursault Clos des Écoles,2022,POD016245,0.5622,POD_TEMP_BM2_0007,temp_pod,low_score
222 borgoña_blancos.pdf,Hospices de Beaune,Meursault Genevrières 1er Cru,2016,POD017288,0.4657,POD_TEMP_BM2_0008,temp_pod,low_score
222 borgoña_blancos.pdf,Le Puy de l’Ours,Savigny-lès-Beaune Les Goudelettes,2023,POD019636,0.4962,POD_TEMP_BM2_0009,temp_pod,low_score
222 borgoña_blancos.pdf,Marquis de Laguiche,Chassagne-Montrachet 1er Cru Morgeot,2022,POD015932,0.5278,POD_TEMP_BM2_0010,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,Marquis de Laguiche,Montrachet (Grand Cru),2022,POD017577,0.518,POD_TEMP_BM2_0011,temp_pod,low_score
222 borgoña_blancos.pdf,Raveneau,Blanchot (Grand Cru),2016,POD017291,0.5911,POD_TEMP_BM2_0012,temp_pod,low_score
222 borgoña_blancos.pdf,Raveneau,Butteaux 1er Cru,2015,POD017286,0.6103,POD_TEMP_BM2_0013,temp_pod,low_score
222 borgoña_blancos.pdf,Raveneau,Montée de Tonnerre 1er Cru,2022,POD017725,0.5956,POD_TEMP_BM2_0014,temp_pod,low_score
222 borgoña_blancos.pdf,Raveneau,Valmur (Grand Cru),2016,POD017292,0.5688,POD_TEMP_BM2_0015,temp_pod,low_score
222 borgoña_blancos.pdf,Si tu Sais,Pernand-Vergelesses,2023,POD018176,0.6138,POD_TEMP_BM2_0016,temp_pod,low_score
222 borgoña_blancos.pdf,Antoine LePetit,Bourgogne Aligoté,2023,POD018720,0.6678,POD018720,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Arnaud Ente,Bourgogne (1.5L),2020,POD015938,0.6995,POD015938,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Arnaud Ente,Meursault Genevrières 1er Cru,2022,POD015942,0.67,POD_TEMP_BM2_0017,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,Arnaud Ente,Meursault Genevrières 1er Cru,—,POD015942,0.71,POD_TEMP_BM2_0018,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,Arnaud Ente,Puligny-Montrachet 1er Cru Champ Gain,2019,POD016878,0.7046,POD016878,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Domaine Leflaive,Chassagne-Montrachet 1er Cru Clos Saint-Marc,2023,POD015932,0.6895,POD_TEMP_BM2_0019,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,François Carillon,Bourgogne Côte d’Or,—,POD018431,0.6615,POD018431,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,J. Drouhin,Clos des Mouches,—,POD013291,0.6883,POD013291,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Les Deux Flèches,Saint-Véran ‘En Messie’,2023,POD019657,0.6513,POD019657,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Louis Jadot,Puligny-Montrachet 1er Cru Les Combettes,2023,POD017016,0.7111,POD017016,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Lucien Muzard,Saint-Aubin 1er Cru Sur le Sentier du Clou,2023,POD019372,0.705,POD_TEMP_BM2_0020,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,Marquis de Laguiche,Corton-Charlemagne (Grand Cru),2022,POD013049,0.5292,POD_TEMP_BM2_0021,temp_pod,low_score
222 borgoña_blancos.pdf,Marquis de Laguiche,Montrachet (Grand Cru),—,POD016634,0.5435,POD_TEMP_BM2_0022,temp_pod,low_score
222 borgoña_blancos.pdf,Pacalet,Bâtard-Montrachet (Grand Cru),2023,POD019251,0.7002,POD019251,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Pacalet,Corton-Charlemagne (Grand Cru),2023,POD019246,0.7057,POD019246,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Pierre Morey,Bâtard-Montrachet (Grand Cru),2022,POD019290,0.77,POD019290,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Pierre Morey,Meursault Perrières 1er Cru,2022,POD012519,0.7419,POD012519,existing_pod,score_ok_no_conflict
222 borgoña_blancos.pdf,Pierre Morey,Puligny-Montrachet 1er Cru Champ Gain,2023,POD019409,0.7787,POD_TEMP_BM2_0023,temp_pod,best_pod_conflict
222 borgoña_blancos.pdf,Raveneau,Montée de Tonnerre 1er Cru,2015,POD017289,0.6474,POD_TEMP_BM2_0024,temp_pod,low_score
222 borgoña_blancos.pdf,Vincent Girardin,Meursault Vieilles Vignes,2023,POD019361,0.7129,POD_TEMP_BM2_0025,temp_pod,best_pod_conflict
