pod,descripcion,ano,bodega_produtor,unidades_bodega,localizacion_bodega
POD008804,Sassicaia 18-,2018,Tenuta San Guido,2,CAVA 12 · BALDA 2 · CEN
POD009450,Solaia 18-,2018,Antinori,1,CAVA 12 · BALDA 3 · IZQ
POD010003,Solaia 19-,2019,Antinori,1,CAVA 12 · BALDA 3 · IZQ
POD010015,Benoit Ente Puligny Montrachet 20-,2020,Benoit Ente,3,CAVA 8 · BALDA 8 · DER
POD010016,Benoit Ente Puligny 1C Clos Truffiere 20-,2020,Benoit Ente,3,CAVA 8 · BALDA 1 · IZQ
POD010090,Prieure Roch Clos de Vougeot 20-,2020,Prieure-Roch,3,CAVA 5 · BALDA 2 · IZQ
POD010381,Leroy Savigny Les Beaune 2018-,2018,Leroy,1,CAVA 4 · BALDA 5 · E
POD010686,Magnien Gevrey 1C Estournelles St Jacques 21-,2021,Henri Magnien,2,CAVA 4 · BALDA 5 · B
POD011244,Bonneau du Martray Corton Charlemagne 20-,2020,Bonneau du Martray,2,CAVA 8 · BALDA 5 · C
POD011380,Arnaud Ente Meursault Clos de Ambres 19-,2019,Arnaud Ente,3,CAVA 7 · BALDA 5 · D
POD011395,Benoit Ente Puligny Montrachet 21-,2021,Benoit Ente,3,CAVA 8 · BALDA 8 · IZQ
POD011396,Benoit Ente Puligny 1C Clos Truffiere 21-,2021,Benoit Ente,3,CAVA 8 · BALDA 2 · CEN
POD011635,Chapoutier Ermitage Le Meal 21 BL-,2021,M. Chapoutier,2,CAVA 6 · BALDA 6 · CEN
POD011698,D De Montille Volnay 1C Champans 14-,2014,Domaine de Montille,3,CAVA 4 · BALDA 2 · IZQ
POD011699,D De Montille Volnay 1C Champans 15-,2015,Domaine de Montille,3,CAVA 4 · BALDA 3 · IZQ
POD011715,Chateau des Tours Cotes du Rhone 19-,2019,Château des Tours,3,CAVA 6 · BALDA 1 · CEN
POD011824,Chapoutier Ermitage Le Meal 15 BL-,2015,M. Chapoutier,1,CAVA 10 · BALDA 5 · IZQ
POD011826,Chapoutier Ermitage Le Pavillon 11-,2011,M. Chapoutier,3,CAVA 6 · BALDA 5 · DER / CAVA 6 · BALDA 6 · DER
POD011827,Chapoutier Ermitage L'Ermite Rg 04-,2004,M. Chapoutier,2,CAVA 6 · BALDA 5 · DER
POD011828,Chapoutier Ermitage L'Ermite Rg 07-,2007,M. Chapoutier,1,CAVA 6 · BALDA 5 · CEN
POD011837,Monteraponi Bragantino 19-,2019,Monteraponi,8,CAVA 11 · BALDA 3 · IZQ
POD011992,Vietti Barbera d'Alba Scarrone 21-,2021,Vietti,3,CAVA 9 · BALDA 7 · IZQ
POD011994,Vietti Barolo Brunate 20-,2020,Vietti,3,CAVA 9 · BALDA 7 · IZQ
POD011999,Cerbaiona Grammatica Rosso Tosc 20-,2020,Cerbaiona,2,CAVA 9 · BALDA 8 · DER
POD012028,Sassicaia 21-,2021,Tenuta San Guido,3,CAVA 12 · BALDA 2 · DER
POD012244,Sassicaia 17-,2017,Tenuta San Guido,3,CAVA 12 · BALDA 2 · IZQ
POD012267,Michel Noellat Echezeaux 22-,2022,Michel Noëllat,2,CAVA 5 · BALDA 6 · CEN
POD012270,Michel Noellat Chambolle Musigny 22-,2022,Michel Noëllat,3,CAVA 4 · BALDA 6 · CEN
POD012367,Cerbaiona Brunello Di Montalcino 19-,2019,Cerbaiona,3,CAVA 9 · BALDA 8 · DER
POD012403,Mugnier Chambolle 1C Les Fuees 21-,2021,Jacques-Frédéric Mugnier,1,CAVA 5 · BALDA 1 · CEN
POD012404,Mugnier Chambolle 1C Les Fuees 20-,2020,Jacques-Frédéric Mugnier,2,CAVA 5 · BALDA 1 · CEN
POD012429,Sine Qua Non Patine Syrah 11-,2011,Sine Qua Non,1,CAVA 6 · BALDA 2
POD012431,Sine Qua Non Pajarito del amor Grenache 16-,2016,Sine Qua Non,2,CAVA 6 · BALDA 2
POD012432,Sine Qua Non Subir Syrah 16-,2016,Sine Qua Non,2,CAVA 7 · BALDA 1 · CEN
POD012433,Sine Qua Non Capo dei Putti Syrah 14-,2014,Sine Qua Non,1,CAVA 5 · BALDA 2
POD012436,Sine Qua Non 11 Confessions Syrah 17-,2017,Sine Qua Non,1,CAVA 5 · BALDA 1
POD012445,Solaia 21-,2021,Antinori,2,CAVA 12 · BALDA 3 · DER
POD012453,Lignier Clos Vougeot 21-,2021,Hubert Lignier,1,CAVA 5 · BALDA 5 · C
POD012462,Bruno Colin Chassagne 1C Morgeot 22-,2022,Bruno Colin,1,CAVA 8 · BALDA 7 · IZQ
POD012473,Emidio Pepe Trebbiano d´Abruzzo 21-,2021,Emidio Pepe,3,CAVA 10 · BALDA 7 · IZQ
POD012506,Massetino 22-,2022,Masseto,2,CAVA 11 · BALDA 2 · CEN
POD012514,Pacalet Echezeaux 22-,2022,Philippe Pacalet,1,CAVA 5 · BALDA 2 · DER
