"source_file","page","list_title","document_notes","location_group","section","producer","item","ano","qty","posicion","raw_line"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Andre Heucq","NV","1","CAV 2 - 10 DER","Andre Heucq | NV | 1 | CAV 2 - 10 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Bereche et Fils Brut Reserve","NV","2","CAV 2 - 11 CEN","Bereche et Fils Brut Reserve | NV | 2 | CAV 2 - 11 CEN"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Billecart Salmon Le Reserve","NV","2","CAV 2 - 11 DER","Billecart Salmon Le Reserve | NV | 2 | CAV 2 - 11 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Bollinger Special Cuvée","NV","2","CAV 2 - 10 DER","Bollinger Special Cuvée | NV | 2 | CAV 2 - 10 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Comtes de Champagne","2014","1","CAV 2 - EXP DER","Comtes de Champagne | 2014 | 1 | CAV 2 - EXP DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Dom Perignon Rosé","2009","1","CAV 2 - EXP IZQ","Dom Perignon Rosé | 2009 | 1 | CAV 2 - EXP IZQ"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Krug Rosé 28éme Edition","NV","1","CAV 2 - EXP IZQ","Krug Rosé 28éme Edition | NV | 1 | CAV 2 - EXP IZQ"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Laherte Frèrers Blanc de Noirs Brut Nature","-","2","CAV 2 - 3 DER","Laherte Frèrers Blanc de Noirs Brut Nature | - | 2 | CAV 2 - 3 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Laherte Frèrers Rose de Meunier Extra Brut","-","1","CAV 2 - 11 DER","Laherte Frèrers Rose de Meunier Extra Brut | - | 1 | CAV 2 - 11 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Laherte Freres Ultradition","NV","2","CAV 2 - 3 DER","Laherte Freres Ultradition | NV | 2 | CAV 2 - 3 DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Louis Roederer Collection 246","NV","2","CAV 2 - 11 CEN","Louis Roederer Collection 246 | NV | 2 | CAV 2 - 11 CEN"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Louis Roederer Cristal Rosé","2014","1","CAV 2 - EXP CEN","Louis Roederer Cristal Rosé | 2014 | 1 | CAV 2 - EXP CEN"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Ruinart Blanc de Blancs Brut","NV","8","CAV 2 - SUELO IZQ","Ruinart Blanc de Blancs Brut | NV | 8 | CAV 2 - SUELO IZQ"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Ruinart Blanc de Blancs Brut Magnum","NV","1","CAV 2 - SUELO DER","Ruinart Blanc de Blancs Brut Magnum | NV | 1 | CAV 2 - SUELO DER"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","CHAMPAGNE","","Ruinart Rosé","NV","4","CAV 2 - SUELO CEN","Ruinart Rosé | NV | 4 | CAV 2 - SUELO CEN"
"tasca fina 18 de febrero.pdf","1","tasca fina 18 de febrero","","","ESPUMOSOS NACIONALES","","Gramona III Lustros","2017","2","CAV 2 - 10 IZQ","Gramona III Lustros | 2017 | 2 | CAV 2 - 10 IZQ"
