"nome","anada","bodega","tipo","pod"
"Château La Mission Haut-Brion","2022","Château La Mission Haut-Brion","Tinto","POD018001"
"Château Lafite-Rothschild","2003","Château Lafite-Rothschild","Tinto","POD016363"
"Château Lafite-Rothschild","2000","Château Lafite-Rothschild","Tinto","POD011720"
"Château Lafite-Rothschild","2022","Château Lafite-Rothschild","Tinto","POD018017"
"Château Lafite-Rothschild","1990","Château Lafite-Rothschild","Tinto","POD016364"
"Château Lafite-Rothschild","2015","Château Lafite-Rothschild","Tinto","POD006607"
"Château Lafite-Rothschild","2017","Château Lafite-Rothschild","Tinto","POD008457"
"Château Lafite-Rothschild","2018","Château Lafite-Rothschild","Tinto","POD008653"
"Château Lafite-Rothschild","2019","Château Lafite-Rothschild","Tinto","POD010118"
"Château Lafite-Rothschild","2020","Château Lafite-Rothschild","Tinto","POD010667"
"Château Lafite-Rothschild","2021","Château Lafite-Rothschild","Tinto","POD012441"
"Château Lafite-Rothschild","1982","Château Lafite-Rothschild","Tinto","POD015778"
"Château Lafleur","2020","Château Lafleur","Tinto","POD010661"
"Château Lafleur","2021","Château Lafleur","Tinto","POD011857"
"Château Lafleur","2022","Château Lafleur","Tinto","POD017832"
"Château Lascombes","2022","Château Lascombes","Tinto","POD017967"
"Château Latour","2000","Château Latour","Tinto","POD007535"
"Château Latour","2003","Château Latour","Tinto","POD017182"
"Château Latour","2005","Château Latour","Tinto","POD009598"
"Château Latour","2009","Château Latour","Tinto","POD009599"
"Château Latour","2010","Château Latour","Tinto","POD009600"
"Château Latour","2017","Château Latour","Tinto","POD012303"
"Château Latour","1982","Château Latour","Tinto","POD015782"
"Château Latour","2018","Château Latour","Tinto","POD012304"
"Château Le Bon Pasteur","2022","Château Le Bon Pasteur","Tinto","POD017962"
"Château Léoville-Barton","2019","Château Léoville-Barton","Tinto","POD010113"
"Château Léoville-Barton","2020","Château Léoville-Barton","Tinto","POD010671"
"Château Léoville-Las Cases","2011","Château Léoville-Las Cases","Tinto","POD011460"
"Château Léoville-Las Cases","2022","Château Léoville-Las Cases","Tinto","POD017997"
"Château Léoville-Las Cases","2005","Château Léoville-Las Cases","Tinto","POD010601"
"Château Léoville-Las Cases","2000","Château Léoville-Las Cases","Tinto","POD017184"
"Château Léoville-Las Cases","2009","Château Léoville-Las Cases","Tinto","POD016368"
"Château Léoville-Las Cases","2010","Château Léoville-Las Cases","Tinto","POD009453"
"Château Léoville-Las Cases","2019","Château Léoville-Las Cases","Tinto","POD010114"
"Château Léoville-Las Cases","2020","Château Léoville-Las Cases","Tinto","POD010672"
"Château Léoville-Las Cases","2021","Château Léoville-Las Cases","Tinto","POD011795"
"Château Léoville-Las Cases","1996","Château Léoville-Las Cases","Tinto","POD017186"
"Château Léoville-Poyferre","2009","Château Léoville-Poyferre","Tinto","POD016299"
"Château Léoville-Poyferre","2019","Château Léoville-Poyferre","Tinto","POD010112"
"Château Léoville-Poyferre","2020","Château Léoville-Poyferre","Tinto","POD010673"
"Château Les Carmes Haut-Brion","2015","Château Les Carmes Haut-Brion","Tinto","POD016369"
"Château Les Carmes Haut-Brion","2022","Château Les Carmes Haut-Brion","Tinto","POD017979"
"Château L´Evangile","2022","Château L´Evangile","Tinto","POD017995"
"Château Lynch-Bages","2018","Château Lynch-Bages","Tinto","POD013846"
"Château Margaux","2019","Château Margaux","Tinto","POD010111"
"Château Margaux","2020","Château Margaux","Tinto","POD010675"
"Château Margaux","2021","Château Margaux","Tinto","POD011789"
"Château Margaux","2022","Château Margaux","Tinto","POD018012"
"Château Margaux","1982","Château Margaux","Tinto","POD015779"
"Château Marquis D´Alesme","2022","Château Marquis D´Alesme","Tinto","POD017956"
"Château Montrose","2022","Château Montrose","Tinto","POD017986"
"Château Montrose","2005","Château Montrose","Tinto","POD017174"
"Château Montrose","2016","Château Montrose","Tinto","POD012184"
"Château Montrose","1996","Château Montrose","Tinto","POD017171"
"Château Mouton-Rothschild","2022","Château Mouton-Rothschild","Tinto","POD018013"
"Château Mouton-Rothschild","2016","Château Mouton-Rothschild","Tinto","POD007530"
