"nome","anada","bodega","tipo"
"Château La Mission Haut-Brion","2022","Château La Mission Haut-Brion","Tinto"
"Château Lafite-Rothschild","2003","Château Lafite-Rothschild","Tinto"
"Château Lafite-Rothschild","2000","Château Lafite-Rothschild","Tinto"
"Château Lafite-Rothschild","2022","Château Lafite-Rothschild","Tinto"
"Château Lafite-Rothschild","1990","Château Lafite-Rothschild","Tinto"
"Château Lafite-Rothschild","2015","Château Lafite-Rothschild","Tinto"
"Château Lafite-Rothschild","2017","Château Lafite-Rothschild","Tinto"
"Château Lafite-Rothschild","2018","Château Lafite-Rothschild","Tinto"
"Château Lafite-Rothschild","2019","Château Lafite-Rothschild","Tinto"
"Château Lafite-Rothschild","2020","Château Lafite-Rothschild","Tinto"
"Château Lafite-Rothschild","2021","Château Lafite-Rothschild","Tinto"
"Château Lafite-Rothschild","1982","Château Lafite-Rothschild","Tinto"
"Château Lafleur","2020","Château Lafleur","Tinto"
"Château Lafleur","2021","Château Lafleur","Tinto"
"Château Lafleur","2022","Château Lafleur","Tinto"
"Château Lascombes","2022","Château Lascombes","Tinto"
"Château Latour","2000","Château Latour","Tinto"
"Château Latour","2003","Château Latour","Tinto"
"Château Latour","2005","Château Latour","Tinto"
"Château Latour","2009","Château Latour","Tinto"
"Château Latour","2010","Château Latour","Tinto"
"Château Latour","2017","Château Latour","Tinto"
"Château Latour","1982","Château Latour","Tinto"
"Château Latour","2018","Château Latour","Tinto"
"Château Le Bon Pasteur","2022","Château Le Bon Pasteur","Tinto"
"Château Léoville-Barton","2019","Château Léoville-Barton","Tinto"
"Château Léoville-Barton","2020","Château Léoville-Barton","Tinto"
"Château Léoville-Las Cases","2011","Château Léoville-Las Cases","Tinto"
"Château Léoville-Las Cases","2022","Château Léoville-Las Cases","Tinto"
"Château Léoville-Las Cases","2005","Château Léoville-Las Cases","Tinto"
"Château Léoville-Las Cases","2000","Château Léoville-Las Cases","Tinto"
"Château Léoville-Las Cases","2009","Château Léoville-Las Cases","Tinto"
"Château Léoville-Las Cases","2010","Château Léoville-Las Cases","Tinto"
"Château Léoville-Las Cases","2019","Château Léoville-Las Cases","Tinto"
"Château Léoville-Las Cases","2020","Château Léoville-Las Cases","Tinto"
"Château Léoville-Las Cases","2021","Château Léoville-Las Cases","Tinto"
"Château Léoville-Las Cases","1996","Château Léoville-Las Cases","Tinto"
"Château Léoville-Poyferre","2009","Château Léoville-Poyferre","Tinto"
"Château Léoville-Poyferre","2019","Château Léoville-Poyferre","Tinto"
"Château Léoville-Poyferre","2020","Château Léoville-Poyferre","Tinto"
"Château Les Carmes Haut-Brion","2015","Château Les Carmes Haut-Brion","Tinto"
"Château Les Carmes Haut-Brion","2022","Château Les Carmes Haut-Brion","Tinto"
"Château L´Evangile","2022","Château L´Evangile","Tinto"
"Château Lynch-Bages","2018","Château Lynch-Bages","Tinto"
"Château Margaux","2019","Château Margaux","Tinto"
"Château Margaux","2020","Château Margaux","Tinto"
"Château Margaux","2021","Château Margaux","Tinto"
"Château Margaux","2022","Château Margaux","Tinto"
"Château Margaux","1982","Château Margaux","Tinto"
"Château Marquis D´Alesme","2022","Château Marquis D´Alesme","Tinto"
"Château Montrose","2022","Château Montrose","Tinto"
"Château Montrose","2005","Château Montrose","Tinto"
"Château Montrose","2016","Château Montrose","Tinto"
"Château Montrose","1996","Château Montrose","Tinto"
"Château Mouton-Rothschild","2022","Château Mouton-Rothschild","Tinto"
"Château Mouton-Rothschild","2016","Château Mouton-Rothschild","Tinto"
"Château Mouton-Rothschild","2019","Château Mouton-Rothschild","Tinto"
"Château Mouton-Rothschild","2020","Château Mouton-Rothschild","Tinto"
"Château Mouton-Rothschild","2021","Château Mouton-Rothschild","Tinto"
"Château Mouton-Rothschild","1982","Château Mouton-Rothschild","Tinto"
"Château Nenin","2022","Château Nenin","Tinto"
"Château Palmer","2020","Château Palmer","Tinto"
"Château Palmer","2022","Château Palmer","Tinto"
"Château Palmer","2018","Château Palmer","Tinto"
"Château Palmer","2019","Château Palmer","Tinto"
"Château Palmer","2021","Château Palmer","Tinto"
"Château Pape Clement","2022","Château Pape Clement","Tinto"
"Château Pavie","2003","Château Pavie","Tinto"
"Château Pavie","2010","Château Pavie","Tinto"
"Château Pavie","2012","Château Pavie","Tinto"
"Château Pavie","2016","Château Pavie","Tinto"
"Château Pavie","2000","Château Pavie","Tinto"
"Château Pavie","2005","Château Pavie","Tinto"
"Château Pavie","2015","Château Pavie","Tinto"
"Château Pavie","2020","Château Pavie","Tinto"
"Château Pavie","2021","Château Pavie","Tinto"
"Château Peby-Faugueres","2018","Château Peby-Faugueres","Tinto"
"Château Peby-Faugueres","2021","Château Peby-Faugueres","Tinto"
"Phelan Segur","2022","Phelan Segur","Tinto"
"Château Pichon Baron Longueville","2022","Château Pichon Baron Longueville","Tinto"
"Château Pichon Longueville Baron","2019","Château Pichon Longueville Baron","Tinto"
"Château Pichon Longueville Baron","2020","Château Pichon Longueville Baron","Tinto"
"Château Pichon Longueville Baron","2021","Château Pichon Longueville Baron","Tinto"
"Château Pichon Longueville Comtesse Lalande","2019","Château Pichon Longueville Comtesse Lalande","Tinto"
"Château Pichon Longueville Comtesse Lalande","2020","Château Pichon Longueville Comtesse Lalande","Tinto"
"Château Pichon Longueville Comtesse Lalande","2021","Château Pichon Longueville Comtesse Lalande","Tinto"
"Château Pontet Canet","2022","Château Pontet Canet","Tinto"
"Château Pontet-Canet","2010","Château Pontet-Canet","Tinto"
"Château Pontet-Canet","2018","Château Pontet-Canet","Tinto"
"Château Rauzan-Ségla","2010","Château Rauzan-Ségla","Tinto"
"Château Rauzan-Ségla","2016","Château Rauzan-Ségla","Tinto"
"Château Rauzan-Ségla","2022","Château Rauzan-Ségla","Tinto"
"Château Rocheyron","2021","Château Rocheyron","Tinto"
"Château Rocheyron","2020","Château Rocheyron","Tinto"
"Château Smith Haut Lafite","2009","Château Smith Haut Lafite","Tinto"
"Château Smith Haut Lafite","2022","Château Smith Haut Lafite","Tinto"
"Château Talbot","2019","Château Talbot","Tinto"
"Château Troplong Mondot","2022","Château Troplong Mondot","Tinto"
"Château Trotanoy","2021","Château Trotanoy","Tinto"
"Château Valandraud","2019","Château Valandraud","Tinto"
"Château Angélus","2010","Château Angélus","Tinto"
"Château Angélus","2017","Château Angélus","Tinto"
"Château Ausone","2017","Château Ausone","Tinto"
"Château Belair-Monange","2017","Château Belair-Monange","Tinto"
"Château Belair-Monange","2018","Château Belair-Monange","Tinto"
"Château Cheval Blanc","2014","Château Cheval Blanc","Tinto"
"Château Cheval Blanc","2015","Château Cheval Blanc","Tinto"
"Château Cheval Blanc","2017","Château Cheval Blanc","Tinto"
"Château Cheval Blanc","2018","Château Cheval Blanc","Tinto"
"Château Cheval Blanc","2019","Château Cheval Blanc","Tinto"
"Château Cheval Blanc","1998","Château Cheval Blanc","Tinto"
"Château Haut-Brion","2009","Château Haut-Brion","Tinto"
"Château Haut-Brion","2018","Château Haut-Brion","Tinto"
"Château La Conseillante","2018","Château La Conseillante","Tinto"
"Château Lafite-Rothschild","2012","Château Lafite-Rothschild","Tinto"
"Château Latour","1996","Château Latour","Tinto"
"Château Latour","1999","Château Latour","Tinto"
"Château Margaux","2015","Château Margaux","Tinto"
"Château Margaux","2016","Château Margaux","Tinto"
"Château Margaux","2017","Château Margaux","Tinto"
"Château Mouton-Rothschild","2009","Château Mouton-Rothschild","Tinto"
"Château Mouton-Rothschild","2010","Château Mouton-Rothschild","Tinto"
"Château Mouton-Rothschild","2015","Château Mouton-Rothschild","Tinto"
"Château Mouton-Rothschild","2017","Château Mouton-Rothschild","Tinto"
"Château Palmer","2016","Château Palmer","Tinto"
"Château Palmer","2017","Château Palmer","Tinto"
"Château Pavie","2014","Château Pavie","Tinto"
"Château Pavie","2017","Château Pavie","Tinto"
"Château Pavie","2018","Château Pavie","Tinto"
"Château Pavie","2020","Château Pavie","Tinto"
"Château Pavie","2021","Château Pavie","Tinto"
"Château Potensac","2022","Château Potensac","Tinto"
"Château Trotanoy","2016","Château Trotanoy","Tinto"
"Château Trotanoy","2018","Château Trotanoy","Tinto"
"Clos Du Clocher","2019","Clos Du Clocher","Tinto"
"Clos Du Clocher","2021","Clos Du Clocher","Tinto"
"Clos Fourtet","2018","Clos Fourtet","Tinto"
"Clos Fourtet","2019","Clos Fourtet","Tinto"
"Clos Fourtet","2019","Clos Fourtet","Tinto"
"Cos d´Estournel","2021","Cos d´Estournel","Tinto"
"Cos d´Estournel","2010","Cos d´Estournel","Tinto"
"Cos d´Estournel","2017","Cos d´Estournel","Tinto"
"Cos d´Estournel","2009","Cos d´Estournel","Tinto"
"Cos d´Estournel","2019","Cos d´Estournel","Tinto"
"Cos d´Estournel","2020","Cos d´Estournel","Tinto"
"Cos d´Estournel","2022","Cos d´Estournel","Tinto"
"Domaine de Chevalier","2015","Domaine de Chevalier","Tinto"
"Château Cheval Blanc","2009","Château Cheval Blanc","Tinto"
"Domaine de Chevalier","2022","Domaine de Chevalier","Tinto"
"Château Haut-Brion","2018","Château Haut-Brion","Tinto"
"Château Haut-Brion","2022","Château Haut-Brion","Tinto"
"Château Ducru-Beaucaillou","2022","Château Ducru-Beaucaillou","Tinto"
"Château La Mission Haut-Brion","2013","Château La Mission Haut-Brion","Tinto"
"Château La Mission Haut-Brion","2014","Château La Mission Haut-Brion","Tinto"
"Château La Mission Haut-Brion","2016","Château La Mission Haut-Brion","Tinto"
"Château La Mission Haut-Brion","2017","Château La Mission Haut-Brion","Tinto"
"Château La Mission Haut-Brion","2018","Château La Mission Haut-Brion","Tinto"
"Château La Mission Haut-Brion","2020","Château La Mission Haut-Brion","Tinto"
