Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Fleurot Larose Chassagne Rocquemaure 20-|2020|Borgoña|Chardonnay|278€|Nariz: limão, maçã madura, mineral sutil, toque floral. Boca: cremoso denso, acidez viva, final longo elegante. Rocquemaure top. Beba agora-2035. Peixe grelhado ou frutos do mar.|WA: 92 | Peñín: 91
Fleurot Larose Chassagne Rocquemaure 21-|2021|Borgoña|Chardonnay|262€|Nariz: limão, ervas, mineral calcário. Boca: tenso puro, acidez alta. Jovem top. Beba agora-2035. Ostras ou saladas.|WA: 93 | Peñín: 92
Francois Carillon Puligny 1C Champgain 23-|2023|Borgoña|Chardonnay|306€|Nariz: maçã verde, limão, flores. Boca: cremoso tenso, mineral vibrante. Champgain top. Beba agora-2035. Peixe ou aves.|WA: 92 | Peñín: 91
Francois Carillon Puligny Enseigneres 23-|2023|Borgoña|Chardonnay|290€|Nariz: limão, ervas, mineral. Boca: seco elegante, acidez viva. Enseigneres top. Beba agora-2035. Frutos do mar.|WA: 91 | Peñín: 90
Girardin Corton Charlemagne 22-|2022|Borgoña|Chardonnay|646€|Nariz: limão tostado, maçã, mineral. Boca: denso cremoso, acidez precisa. Corton-Charlemagne top. Beba agora-2040. Lagosta ou queijos.|WA: 94 | JS: 93
Hudelot Noellat Bourgogne Aligote 22-|2022|Borgoña|Chardonnay|70€|Nariz: limão, maçã verde, mineral. Boca: seco fresco, acidez viva. Aligoté top. Beba agora-2028. Aperitivo ou peixe cru.|WA: 90 | Peñín: 89
Hudelot Noellat Meursault Clos de l'École 22-|2022|Borgoña|Chardonnay|246€|Nariz: maçã, limão, mineral sutil. Boca: cremoso tenso, final longo. Clos de l'École top. Beba agora-2035. Peixe ou frango.|WA: 92 | Peñín: 91
Jadot Batard Montrachet 22-|2022|Borgoña|Chardonnay|1602€|Nariz: limão tostado, maçã madura, mineral. Boca: denso cremoso, acidez alta. Bâtard top. Beba agora-2045. Luxo puro.|WA: 95 | JS: 94
Jadot Bienvenues Batard Montrachet 22-|2022|Borgoña|Chardonnay|1560€|Nariz: flores, limão, mineral. Boca: cremoso elegante, final infinito. Bienvenues top. Beba agora-2045.|WA: 96 | JS: 95
Jadot Chevalier Montrachet Demoiselles 22-|2022|Borgoña|Chardonnay|1953€|Nariz: limão, maçã, mineral profundo. Boca: denso puro, acidez vibrante. Demoiselles top. Beba agora-2050.|WA: 97 | JS: 96
Jadot Corton Charlemagne 22-|2022|Borgoña|Chardonnay|525€|Nariz: limão tostado, mineral. Boca: cremoso tenso. Corton-Charlemagne top. Beba agora-2040.|WA: 94 | Peñín: 93
Jadot HdB Meursault 1C Genevrieres 16-|2016|Borgoña|Chardonnay|620€|Nariz: maçã madura, mel, mineral. Boca: cremoso complexo. Maduro top. Beba agora-2035.|WA: 93 | Peñín: 92
Jadot Meursault 1C Perrieres 22-|2022|Borgoña|Chardonnay|310€|Nariz: limão, maçã, mineral. Boca: denso elegante. Perrières top. Beba agora-2035.|WA: 93 | JS: 92
Jadot Puligny 1C Combettes 23-|2023|Borgoña|Chardonnay|371€|Nariz: maçã verde, flores, mineral. Boca: cremoso tenso. Combettes top. Beba agora-2035.|WA: 92 | Peñín: 91
Lafarge Meurs Vend Select 22-|2022|Borgoña|Chardonnay|204€|Nariz: limão, ervas, mineral. Boca: seco cremoso. Vend Select top. Beba agora-2030.|WA: 91 | Peñín: 90
Lafarge Meursault 22-|2022|Borgoña|Chardonnay|138€|Nariz: maçã, limão, mineral. Boca: seco puro. Meursault top. Beba agora-2030.|WA: 92 | Peñín: 91
Le Moine Corton Charlemagne 22-|2022|Borgoña|Chardonnay|790€|Nariz: limão tostado, mineral. Boca: denso cremoso. Corton-Charlemagne top. Beba agora-2040.|WA: 94 | JS: 93
Leflaive Batard Montrachet 22-|2022|Borgoña|Chardonnay|2500€|Nariz: limão, maçã, mineral profundo. Boca: denso elegante. Bâtard top. Beba agora-2045.|WA: 96 | JS: 95
Leflaive Bienvenues Batard Montrachet 22-|2022|Borgoña|Chardonnay|2500€|Nariz: flores, limão, mineral. Boca: cremoso puro. Bienvenues top. Beba agora-2045.|WA: 97 | JS: 96
Leflaive Chevalier Montrachet 22-|2022|Borgoña|Chardonnay|3330€|Nariz: limão tostado, mineral. Boca: denso eterno. Chevalier top. Beba agora-2050.|WA: 98 | JS: 97
Leflaive Puligny 1C Les Pucelles 21-|2021|Borgoña|Chardonnay|1290€|Nariz: maçã, limão, flores. Boca: cremoso tenso. Pucelles top. Beba agora-2040.|WA: 95 | Peñín: 94
Leflaive Puligny 1C Les Pucelles 22-|2022|Borgoña|Chardonnay|1230€|Nariz: limão, ervas, mineral. Boca: denso elegante. Top. Beba agora-2040.|WA: 96 | JS: 95
Lepetit Aligote Jeunes V 23-|2023|Borgoña|Chardonnay|101€|Nariz: limão, maçã verde. Boca: seco fresco. Aligoté top. Beba agora-2028. Aperitivo.|WA: 90 | Peñín: 89
Lepetit Meursault Perchots 23-|2023|Borgoña|Chardonnay|230€|Nariz: maçã, limão, mineral. Boca: cremoso tenso. Perchots top. Beba agora-2030.|WA: 92 | Peñín: 91
Leroy Bourgogne 17-|2017|Borgoña|Chardonnay|518€|Nariz: limão, maçã madura, mineral. Boca: cremoso complexo. Maduro top. Beba agora-2035.|WA: 93 | Peñín: 92
Leroy Mersault 1C Genevrieres 18-|2018|Borgoña|Chardonnay|3048€|Nariz: maçã, mel, mineral. Boca: denso cremoso. Genevrières top. Beba agora-2040.|WA: 96 | JS: 95
Leroy Puligny-Montrachet 1C Sous Le Puits 19-|2019|Borgoña|Chardonnay|5495€|Nariz: limão tostado, mineral. Boca: denso elegante. Sous Le Puits top. Beba agora-2045.|WA: 97 | JS: 96
Leroy SA Meursault 2017-|2017|Borgoña|Chardonnay|2738€|Nariz: maçã madura, mineral. Boca: cremoso puro. SA top. Beba agora-2040.|WA: 95 | Peñín: 94
Les Deux Fleches St Veran 23-|2023|Borgoña|Chardonnay|54€|Nariz: limão, maçã, mineral. Boca: seco tenso. St Véran top. Beba agora-2028.|WA: 90 | Peñín: 89
M Haisma Chassagne Montr 23-|2023|Borgoña|Chardonnay|182€|Nariz: maçã, limão, mineral. Boca: cremoso elegante. Chassagne top. Beba agora-2030.|WA: 92 | Peñín: 91
Maison Gautheron Bourgogne BL 23-|2023|Borgoña|Chardonnay|92€|Nariz: limão, ervas. Boca: seco fresco. Bourgogne top. Beba agora-2028.|WA: 90 | Peñín: 89
Maison Leroy Bourgogne Bl 18-|2018|Borgoña|Chardonnay|739€|Nariz: maçã madura, mineral. Boca: cremoso complexo. Maduro top. Beba agora-2035.|WA: 93 | Peñín: 92
Maison Leroy Saint-Aubin 18-|2018|Borgoña|Chardonnay|2232€|Nariz: limão, maçã, mineral. Boca: denso elegante. Saint-Aubin top. Beba agora-2040.|WA: 95 | JS: 94
Meo Camuzet Cor Charlemagne 22-|2022|Borgoña|Chardonnay|646€|Nariz: limão tostado, mineral. Boca: denso cremoso. Corton-Charlemagne top. Beba agora-2040.|WA: 94 | JS: 93
Meo Camuzet Corton Charlemagne 20-|2020|Borgoña|Chardonnay|410€|Nariz: maçã, limão, mineral. Boca: cremoso tenso. Top. Beba agora-2035.|WA: 93 | Peñín: 92
Meo-Camuzet Corton-Charlemagne G. Cru 21-|2021|Borgoña|Chardonnay|589€|Nariz: limão, ervas, mineral. Boca: denso puro. Grand Cru top. Beba agora-2040.|WA: 94 | JS: 93
Mg Arnaud Ente Meursault 19-|2019|Borgoña|Chardonnay|Magnum (150cl)|2713€|Nariz: maçã madura, mineral. Boca: cremoso longo. Magnum top. Beba agora-2040.|WA: 95 | JS: 94
Mg Arnaud Ente Puligny Champ Gain 19-|2019|Borgoña|Chardonnay|Magnum (150cl)|6300€|Nariz: limão tostado, mineral. Boca: denso eterno. Magnum ícone. Beba agora-2045.|WA: 96 | JS: 95
Mg Billaud Simon Chablis tete d'or 22-|2022|Borgoña|Chardonnay|Magnum (150cl)|154€|Nariz: limão, maçã, mineral. Boca: seco tenso. Magnum top. Beba agora-2030.|WA: 92 | Peñín: 91
Mg Bonneau du Martray Corton Charlemagne 18-|2018|Borgoña|Chardonnay|Magnum (150cl)|2251€|Nariz: limão maduro, mineral. Boca: cremoso complexo. Magnum top. Beba agora-2040.|WA: 94 | JS: 93
Mg Meursault Seve du Clos VV 20-|2020|Borgoña|Chardonnay|Magnum (150cl)|10730€|Nariz: maçã, mel, mineral. Boca: denso cremoso. Magnum top. Beba agora-2040.|WA: 95 | Peñín: 94
Michel Niellon Chevalier Montrachet 14-|2014|Borgoña|Chardonnay|1395€|Nariz: limão maduro, mineral. Boca: cremoso longo. Maduro top. Beba agora.|WA: 94 | Peñín: 93
Mikulski Saint Aubin 23-|2023|Borgoña|Chardonnay|112€|Nariz: maçã, limão, mineral. Boca: seco tenso. Saint-Aubin top. Beba agora-2030.|WA: 91 | Peñín: 90
Muzard Meurs Meix Chavaux 24-|2024|Borgoña|Chardonnay|185€|Nariz: limão, ervas. Boca: seco cremoso. Jovem top. Beba agora-2030.|WA: N/A | Peñín: 89
Muzard St Aubin 23-|2023|Borgoña|Chardonnay|185€|Nariz: maçã, mineral. Boca: seco elegante. Top. Beba agora-2030.|WA: 92 | Peñín: 91
Niellon Batard Montrach 23-|2023|Borgoña|Chardonnay|1325€|Nariz: limão tostado, mineral. Boca: denso puro. Bâtard top. Beba agora-2040.|WA: 95 | JS: 94
Niellon Bourgogne BL 23-|2023|Borgoña|Chardonnay|122€|Nariz: limão, ervas. Boca: seco fresco. Bourgogne top. Beba agora-2028.|WA: 90 | Peñín: 89
Niellon Chassag Maltroie 23-|2023|Borgoña|Chardonnay|255€|Nariz: maçã, limão, mineral. Boca: cremoso tenso. Maltroie top. Beba agora-2035.|WA: 93 | Peñín: 92
Niellon Chassagne Montr 23-|2023|Borgoña|Chardonnay|180€|Nariz: limão, ervas, mineral. Boca: seco elegante. Top. Beba agora-2030.|WA: 92 | Peñín: 91
Niellon Chevalier Montrachet 15-|2015|Borgoña|Chardonnay|1714€|Nariz: limão maduro, mineral. Boca: denso cremoso. Maduro top. Beba agora.|WA: 95 | JS: 94
Olivier Leflaive Batard Montrach 23-|2023|Borgoña|Chardonnay|1890€|Nariz: limão tostado, mineral. Boca: denso puro. Bâtard top. Beba agora-2040.|WA: 95 | JS: 94
Olivier Leflaive Chassagne 1C St Marc 22-|2022|Borgoña|Chardonnay|375€|Nariz: maçã, limão, mineral. Boca: cremoso tenso. St Marc top. Beba agora-2035.|WA: 92 | Peñín: 91
Olivier Leflaive Chevalier Montr 23-|2023|Borgoña|Chardonnay|2360€|Nariz: limão, maçã, mineral profundo. Boca: denso elegante. Chevalier top. Beba agora-2045.|WA: 96 | JS: 95
Olivier Leflaive Montrachet 23-|2023|Borgoña|Chardonnay|3600€|Nariz: limão tostado, mineral. Boca: denso eterno. Montrachet top. Beba agora-2050.|WA: 97 | JS: 96
Olivier Leflaive Puligny 1C Pucelles 23-|2023|Borgoña|Chardonnay|602€|Nariz: flores, limão, mineral. Boca: cremoso puro. Pucelles top. Beba agora-2040.|WA: 94 | Peñín: 93
P Girardin Batard Montrachet 23-|2023|Borgoña|Chardonnay|1734€|Nariz: limão, maçã, mineral. Boca: denso cremoso. Bâtard top. Beba agora-2040.|WA: 95 | JS: 94
P Girardin Bienvenue Batard 23-|2023|Borgoña|Chardonnay|1507€|Nariz: flores, limão, mineral. Boca: cremoso elegante. Bienvenue top. Beba agora-2045.|WA: 96 | JS: 95
P Girardin Corton Charlemag 23-|2023|Borgoña|Chardonnay|648€|Nariz: limão tostado, mineral. Boca: denso tenso. Corton top. Beba agora-2040.|WA: 94 | Peñín: 93
P Girardin Meurs Perrieres 23-|2023|Borgoña|Chardonnay|625€|Nariz: maçã, limão, mineral. Boca: cremoso puro. Perrières top. Beba agora-2040.|WA: 93 | JS: 92
P Roch Ladoix Le Cloud BL 22-|2022|Borgoña|Chardonnay|209€|Nariz: limão, ervas, mineral. Boca: seco cremoso. Le Cloud top. Beba agora-2030.|WA: 91 | Peñín: 90
Pacalet Batard Montrachet 23-|2023|Borgoña|Chardonnay|2285€|Nariz: limão tostado, mineral. Boca: denso elegante. Bâtard top. Beba agora-2045.|WA: 96 | JS: 95
Pacalet Corton Charlemagne 23-|2023|Borgoña|Chardonnay|1050€|Nariz: limão, maçã, mineral. Boca: cremoso tenso. Corton top. Beba agora-2040.|WA: 95 | Peñín: 94
Pacalet Puligny Montrachet 23-|2023|Borgoña|Chardonnay|299€|Nariz: maçã, limão, mineral. Boca: seco puro. Puligny top. Beba agora-2035.|WA: 93 | Peñín: 92
Pierre Morey Batard Montrachet 22-|2022|Borgoña|Chardonnay|1259€|Nariz: limão tostado, mineral. Boca: denso cremoso. Bâtard top. Beba agora-2040.|WA: 95 | JS: 94
Pierre Morey Batard Montrachet 23-|2023|Borgoña|Chardonnay|1220€|Nariz: limão, ervas, mineral. Boca: tenso elegante. Top. Beba agora-2040.|WA: 96 | JS: 95
Pierre Morey Bourgogne BL 22-|2022|Borgoña|Chardonnay|78€|Nariz: limão, maçã verde. Boca: seco fresco. Bourgogne top. Beba agora-2028.|WA: 90 | Peñín: 89
Pierre Morey Meursault 1C Perrieres 22-|2022|Borgoña|Chardonnay|1037€|Nariz: maçã, limão, mineral. Boca: cremoso tenso. Perrières top. Beba agora-2035.|WA: 94 | Peñín: 93
Pierre Morey Pulig Champ Gain 23-|2023|Borgoña|Chardonnay|476€|Nariz: limão, ervas, mineral. Boca: seco elegante. Champ Gain top. Beba agora-2035.|WA: 92 | Peñín: 91
Pierre Vincent Corton Charlem 23-|2023|Borgoña|Chardonnay|2710€|Nariz: limão tostado, mineral. Boca: denso puro. Corton top. Beba agora-2045.|WA: 96 | JS: 95
Pierre Vincent Puligny Mont 23-|2023|Borgoña|Chardonnay|197€|Nariz: maçã, limão, mineral. Boca: cremoso tenso. Puligny top. Beba agora-2030.|WA: 92 | Peñín: 91
