Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Prado Enea 16-|2016|Rioja|Tempranillo|125€|Nariz: cassis maduro, tabaco, couro e especiarias. Boca: denso cremoso, taninos elegantes e polidos, final longo e complexo. Prado Enea top. Beba agora-2035+. Harmonização: carne vermelha grelhada ou queijo curado.|WA: 97 | JS: N/A | Peñín: 95
Quiñon de Valmira 20-|2020|Rioja|Tempranillo|672€|Nariz: cassis mineral, violetas e ervas finas. Boca: denso puro, taninos sedosos, acidez vibrante e final eterno. Quiñon de Valmira ícone. Beba agora-2040+. Harmonização: carne vermelha premium ou caça.|WA: 95-100 | JS: N/A | Peñín: N/A
Quiñon de Valmira 21-|2021|Rioja|Tempranillo|770€|Nariz: frutas escuras maduras, mineral e floral. Boca: cremoso eterno, taninos firmes mas refinados. Quiñon de Valmira ícone. Beba agora-2045+. Harmonização: assados ou queijos intensos.|WA: 99 | JS: 98 | Peñín: 98
Quiñon de Valmira 22-|2022|Rioja|Tempranillo|825€|Nariz: cassis, ervas e mineral sutil. Boca: tenso elegante, taninos vibrantes e puro. Jovem top. Beba 2027-2045+. Harmonização: carne vermelha ou queijo curado.|WA: N/A | JS: N/A | Peñín: N/A
Remelluri Reserva 17 TO-|2017|Rioja|Tempranillo|58€|Nariz: frutas vermelhas, ervas e mineral. Boca: fresco denso, taninos suaves. Remelluri Reserva top. Beba agora-2030+. Harmonização: carnes leves ou queijos.|WA: 93 | JS: N/A | Peñín: 92
Remelluri Rioja Gran Rva 16-|2016|Rioja|Tempranillo|122€|Nariz: cassis maduro, tabaco e especiarias. Boca: complexo cremoso, taninos elegantes. Gran Rva top. Beba agora-2035+. Harmonização: carne vermelha ou caça.|WA: 94 | JS: N/A | Peñín: 93
Remirez de Ganuza G Rva 01 5L-|2001|Rioja|Tempranillo|7440€|Nariz: cassis maduro, couro e ervas secas. Boca: eterno complexo, taninos polidos. G Rva lendário. Beba agora.|WA: 96 | JS: N/A | Peñín: 95
Remirez De Ganuza G Rva 04-|2004|Rioja|Tempranillo|1808€|Nariz: cassis mineral maduro, tabaco e especiarias. Boca: denso eterno, taninos elegantes. G Rva ícone. Beba agora.|WA: 100 | JS: N/A | Peñín: N/A
Remirez de Ganuza G Rva 05-|2005|Rioja|Tempranillo|439€|Nariz: frutas escuras, ervas maduras. Boca: cremoso longo, taninos refinados. G Rva top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 96 | JS: N/A | Peñín: 95
Remirez de Ganuza G Rva 10-|2010|Rioja|Tempranillo|491€|Nariz: cassis, ervas e mineral. Boca: denso cremoso, taninos firmes. G Rva top. Beba agora-2035+. Harmonização: assados.|WA: 95 | JS: N/A | Peñín: 94
Remirez de Ganuza G Rva 12-|2012|Rioja|Tempranillo|320€|Nariz: cassis maduro, tabaco. Boca: complexo elegante. G Rva top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 97 | JS: N/A | Peñín: N/A
Remirez De Ganuza G Rva 15-|2015|Rioja|Tempranillo|227€|Nariz: frutas escuras, especiarias. Boca: cremoso taninos suaves. G Rva top. Beba agora-2035+. Harmonização: queijo curado.|WA: 95 | JS: N/A | Peñín: 94
Remirez de Ganuza G Rva 94-|1994|Rioja|Tempranillo|512€|Nariz: cassis maduro, couro e ervas secas. Boca: eterno complexo. G Rva lendário. Beba agora.|WA: 96 | JS: N/A | Peñín: 95
Remirez de Ganuza Rva 08-|2008|Rioja|Tempranillo|210€|Nariz: cassis, ervas maduras. Boca: denso cremoso. Rva top. Beba agora-2030+. Harmonização: carne vermelha.|WA: 94 | JS: N/A | Peñín: 93
Remirez de Ganuza Rva 14-|2014|Rioja|Tempranillo|132€|Nariz: frutas vermelhas, mineral. Boca: fresco denso. Rva top. Beba agora-2030+. Harmonização: carnes grelhadas.|WA: 93 | JS: N/A | Peñín: 92
Remirez de Ganuza Rva 17-|2017|Rioja|Tempranillo|103€|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Rva top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: N/A | Peñín: 92
Remirez de Ganuza Rva 18-|2018|Rioja|Tempranillo|84€|Nariz: frutas escuras, especiarias. Boca: denso equilibrado. Rva top. Beba agora-2030+. Harmonização: queijos.|WA: 92 | JS: N/A | Peñín: 91
Remirez de Ganuza Trasnocho 12-|2012|Rioja|Tempranillo|375€|Nariz: cassis mineral. Boca: denso cremoso. Trasnocho top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: N/A | Peñín: 93
Remirez de Ganuza Viña Coqueta 15-|2015|Rioja|Tempranillo|57€|Nariz: frutas vermelhas, ervas. Boca: fresco mineral. Viña Coqueta top. Beba agora-2030+. Harmonização: aperitivo ou carnes leves.|WA: 92 | JS: N/A | Peñín: 91
Roda Cirsion 19-|2019|Rioja|Tempranillo|382€|Nariz: cassis violetas, mineral. Boca: denso cremoso eterno. Cirsion top. Beba agora-2040+. Harmonização: carne premium.|WA: 95 | JS: 94 | Peñín: 94
Roda I Rva 19-|2019|Rioja|Tempranillo|88€|Nariz: cassis, ervas. Boca: cremoso taninos suaves. Roda I Rva top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: 92
Roda I Rva 20-|2020|Rioja|Tempranillo|92€|Nariz: frutas vermelhas, mineral. Boca: fresco denso. Roda I Rva top. Beba agora-2035+. Harmonização: queijo curado.|WA: 93 | JS: 92 | Peñín: 92
Roda Reserva 22-|2022|Rioja|Tempranillo|52€|Nariz: morango, ervas. Boca: fresco equilibrado. Roda Reserva top. Jovem top. Beba agora-2030+. Harmonização: carnes leves.|WA: 91 | JS: 91 | Peñín: 90
Sierra cantabria Col Privada 22-|2022|Rioja|Tempranillo|92€|Nariz: cassis, ervas. Boca: denso puro. Col Privada top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: 92
Sierra Cantabria Mágico 19-|2019|Rioja|Tempranillo|1109€|Nariz: cassis mineral, violetas. Boca: denso cremoso eterno. Mágico ícone. Beba agora-2040+. Harmonização: luxo máximo.|WA: 96 | JS: 98 | Peñín: 98
Sierra Cantabria Magico 20-|2020|Rioja|Tempranillo|1124€|Nariz: frutas escuras, especiarias. Boca: cremoso taninos firmes. Mágico ícone. Beba agora-2045+. Harmonização: carne vermelha premium.|WA: 96 | JS: 98 | Peñín: 98
Sierra Cantabria Magico 22-|2022|Rioja|Tempranillo|842€|Nariz: cassis, ervas. Boca: denso puro vibrante. Jovem top. Beba 2027-2045+. Harmonização: assados.|WA: N/A | JS: N/A | Peñín: N/A
Tabuerniga-|2020|Rioja|Tempranillo|176€|Nariz: cassis mineral. Boca: denso elegante. Tabuerniga top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: 93
Tabuerniga 22-|2022|Rioja|Tempranillo|188€|Nariz: frutas vermelhas, ervas. Boca: fresco denso. Tabuerniga top. Beba agora-2035+. Harmonização: carnes grelhadas.|WA: 93 | JS: 92 | Peñín: 92
Telmo Rodríguez Las Beatas 20-|2020|Rioja|Tempranillo|443€|Nariz: cassis, mineral e ervas. Boca: denso cremoso, taninos refinados. Las Beatas top. Beba agora-2040+. Harmonização: caça ou queijos fortes.|WA: 96 | JS: 95 | Peñín: 95
Telmo Rodriguez Tabuerniga 20-|2020|Rioja|Tempranillo|160€|Nariz: cassis mineral. Boca: denso puro. Tabuerniga top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: 93
Trasnocho Rva 10-|2010|Rioja|Tempranillo|375€|Nariz: cassis maduro, tabaco. Boca: complexo cremoso. Trasnocho top. Beba agora-2030+. Harmonização: assados.|WA: 94 | JS: N/A | Peñín: 93
Trasnocho Rva 18-|2018|Rioja|Tempranillo|156€|Nariz: frutas escuras, especiarias. Boca: denso elegante. Trasnocho top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: N/A | Peñín: 92
Trasnocho Rva 19-|2019|Rioja|Tempranillo|115€|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Trasnocho top. Beba agora-2035+. Harmonização: queijo curado.|WA: 93 | JS: N/A | Peñín: 92
Valenciso-|2019|Rioja|Tempranillo|48€|Nariz: frutas vermelhas, ervas. Boca: fresco mineral. Valenciso top. Beba agora-2030+. Harmonização: carnes leves.|WA: 91 | JS: 90 | Peñín: 90
