wine_text,year,qty,location
Capficat Celler Credo,2019,1,2·A·D
Salix Mas Doix,2024,1,2·A·D
Salix Mas Doix,2023,1,2·A·D
Electio Karel Lo,2022,1,2·A·D
Pedra de Guix Terroir al Limit,2022,1,2·A·A
Remelluri Blanco,2022,1,2·B·D
Roda I Blanco,2021,1,2·B·D
Remelluri Blanco,2021,1,2·B·A
Roda I Blanco,2021,1,2·B·A
Capellania Marques de Murrieta,2019,1,2·C·D
Finca La Medina Verdejo Jose Pariente,2024,1,2·D·D
La Medina Verdejo Jose Pariente,2024,1,2·D·D
Albillo Vinas Viejas Dominio del Aguila,2020,1,2·D·D
Capitel Ossian,2022,1,2·D·D
Mandolas Oremus,2022,1,2·E·D
Mandolas Oremus,2023,1,2·E·D
Las Vidres Alvaro Palacios,2020,1,2·E·D
Malvasia Roman San Roman,2022,1,2·E·A
Belondrade y Lurton,2024,1,2·F·D
Belondrade y Lurton,2023,1,2·F·D
Abadia Retuerta Le Domaine Blanco de Guarda,2018,1,2·G·A
La Lume,2023,1,2·G·D
Las Suertes Old Vines,2024,1,2·G·D
Flor de Muga,2022,1,2·G·D
Mauro Godello,2024,1,2·H·A
O Soro Rafael Palacios,2022,1,2·H·A
La Salvacion Rafael Palacios,2023,1,2·H·D
As Sortes Rafael Palacios,2023,1,2·H·D
As Sortes Rafael Palacios,2024,1,2·H·D
Avancia Godello,2024,1,2·H·D
Attis Mar,,1,2·I·A
Pazo de Senorans Ilustracion de Anada,2015,1,2·I·A
Attis Lias Finas Albarino,2024,1,2·I·D
Attis Corribante Varietales,2022,1,2·I·D
Attis Embajador Albarino,,1,2·BASE
Oremus Mandolas Furmint,2022,1,2·BASE
La Mision,,1,2·BASE
Jose Pariente Albarino,2020,1,2·BASE
La Comtesse Albarino,2020,1,2·BASE
Hattenfeld Spanier Riesling,2024,1,2·BASE
As Sortes Rafael Palacios,2024,1,2·BASE
