page,y,name,ano,qty,pos,compact_loc
4,747.5,Andre Heucq,NV,1,CAV 2 - 10 DER,2·10·DER
4,733.0,Bereche et Fils Brut Reserve,NV,2,CAV 2 - 11 CEN,2·11·CEN
4,718.5,Billecart Salmon Le Reserve,NV,2,CAV 2 - 11 DER,2·11·DER
4,704.0,Bollinger Special Cuvée,NV,2,CAV 2 - 10 DER,2·10·DER
4,689.5,Comtes de Champagne,2014,1,CAV 2 - EXP DER,2·EXP·DER
4,675.0,Dom Perignon Rosé,2009,1,CAV 2 - EXP IZQ,2·EXP·IZQ
4,660.5,Krug Rosé 28éme Edition,,1,CAV 2 - EXP IZQ,2·EXP·IZQ
4,646.0,Laherte Frèrers Blanc de Noirs Brut Nature,,2,CAV 2 - 3 DER,2·3·DER
4,631.5,Laherte Frèrers Rose de Meunier Extra Brut,,1,CAV 2 - 11 DER,2·11·DER
4,617.0,Laherte Freres Ultradition,,2,CAV 2 - 3 DER,2·3·DER
4,602.5,Louis Roederer Collection 246,,2,CAV 2 - 11 CEN,2·11·CEN
4,587.5,Louis Roederer Cristal Rosé,2014,1,CAV 2 - EXP CEN,2·EXP·CEN
4,573.0,Ruinart Blanc de Blancs Brut,NV,8,CAV 2 - SUELO IZQ,2·SUELO·IZQ
4,558.5,Ruinart Blanc de Blancs Brut Magnum,NV,1,CAV 2 - SUELO DER,2·SUELO·DER
4,544.0,Ruinart Rosé,NV,4,CAV 2 - SUELO CEN,2·SUELO·CEN
4,515.0,Gramona III Lustros,2017,2,CAV 2 - 10 IZQ,2·10·IZQ
4,500.5,Gramona Imperial Brut,2020,4,CAV 2 - 3 CEN,2·3·CEN
4,486.0,Gramona Roent Rosé,2022,2,CAV 2 - 11 IZQ,2·11·IZQ
4,457.0,Mestres Coquet Brut Nature Gran Rva,2019,4,CAV 2 - 3 IZQ,2·3·IZQ
4,442.0,Raventós i Blanc De la Finca,2022,2,CAV 2 - 10 CEN,2·10·CEN
4,426.5,Raventós i Blanc Textures de Pedra,2020,2,CAV 2 - 10 CEN,2·10·CEN
4,411.5,Recaredo Intens Rosat,2022,2,CAV 2 - 11 IZQ,2·11·IZQ
4,396.0,Recaredo Terrers,2020,2,CAV 2 - 10 IZQ,2·10·IZQ
4,381.0,Torelló 225,2018,2,CAV 2 - SUELO DER,2·SUELO·DER
4,350.5,4 Monos Albillo real,2023,2,CAV 2 - 5 IZQ,2·5·IZQ
4,335.0,A pedreira,2024,2,CAV 4 - 1 DER,4·1·DER
4,320.0,Abadia da Cova Lola,2024,1,CAV 4 - 3 DER,4·3·DER
4,304.5,Abadía da Cova Pedras Líquidas,2023,1,CAV 4 - 3 DER,4·3·DER
4,289.5,Abadia Retuerta Le Domaine,2018,2,CAV 4 - 2 DER,4·2·DER
4,274.0,Abel Mendoza Viura,2024,2,CAV 3 - 3 IZQ,3·3·IZQ
4,259.0,Arenas de Santyuste,2023,2,CAV 3 - 2 IZQ,3·2·IZQ
4,243.5,As Sortes,2024,2,CAV 4 -3 IZQ,4·3·IZQ
4,228.5,Attis Atalante,2023,1,CAV 4 - 1 DER,4·1·DER
4,213.0,Attis Lias Finas,2024,4,CAV 2 - 4 CEN,2·4·CEN
4,198.0,Attis Mar,2024,2,CAV 4 - 1 CEN,4·1·CEN
4,167.5,Avancia,2024,2,CAV 4 - 3 CEN,4·3·CEN
4,152.0,Barco del Corneta,2023,2,CAV 3 - 2 DER,3·2·DER
4,137.0,Belondrade y Lurton,2023,1,CAV 3 - 2 CEN,3·2·CEN
4,121.5,Brissat Pesseroles Mas Martinet,2021,2,CAV 4 - ATICO,4·ATICO
4,91.0,Cantalapiedra Chiviritero,2023,2,CAV 3 - 2 IZQ,3·2·IZQ
4,76.0,Chivite 125 blanco,2023,1,CAV 2 - 10 DER,2·10·DER
4,60.5,Do Ferreiro Cepas Vellas,2024,2,CAV 4 - 1 CEN,4·1·CEN
23,760.5,Dominio del Aguila Viñas Viejas,2020,3,CAV 4 - 2 DER,4·2·DER
23,745.5,Doniene Gorrondona,2023,2,CAV 4 - 0 CEN,4·0·CEN
23,730.0,El Cerrico,2021,2,CAV 2 - 6 DER,2·6·DER
23,715.0,Electio,2022,2,CAV 3 - 1 DER,3·1·DER
23,684.5,Finca Calvestra,2024,2,CAV 3 - 1 IZQ,3·1·IZQ
23,669.0,Flor de Albihar Rico Nuevo,2021,2,CAV 2 - 5 IZQ,2·5·IZQ
23,654.0,Flor de Muga Blanco,2022,2,CAV 3 - 3 CEN,3·3·CEN
23,638.5,Guímaro Cepas Vellas,2024,2,CAV 2 - 5 DER,2·5·DER
23,623.5,Hombre bala Albillo,2023,2,CAV 2 - 5 CEN,2·5·CEN
23,608.0,Joaquín Rebolledo Trasdairelas,2024,2,CAV 2 - 6 IZQ,2·6·IZQ
23,593.0,José Pariente La Medina,2024,1,CAV 3 - 2 CEN,3·2·CEN
23,577.5,Kalamity,2023,2,CAV 3 - 3 DER,3·3·DER
23,562.5,La caña navia,2024,2,CAV 4 - 1 IZQ,4·1·IZQ
23,547.0,La del vivo,2023,2,CAV 3 - 3 DER,3·3·DER
23,532.0,La llorona,2024,2,CAV 4 - 3 CEN,4·3·CEN
23,516.5,La Salvación,2023,2,CAV 4 - 3 IZQ,4·3·IZQ
23,501.5,Lalume Dominio de Bibei,2023,2,CAV 2 - 5 DER,2·5·DER
23,486.0,Lapola Dominio do Bibei,2023,2,CAV 4 - 1 IZQ,4·1·IZQ
23,471.0,Leirana O Pradiño,2022,1,CAV 4 - 1 DER,4·1·DER
23,455.5,Louro,2024,2,CAV 4 - 3 CEN,4·3·CEN
23,440.5,Malcorta,2024,2,CAV 3 - 2 DER,3·2·DER
23,425.0,Mauro Godello,2024,1,CAV 4 - 0 CEN,4·0·CEN
23,410.0,Menade Verdejo,2025,4,CAV 2 - 4 IZQ,2·4·IZQ
23,394.5,Motor Blanco,2023,2,CAV 3 - 1 CEN,3·1·CEN
23,379.5,Nisia Las Suertes,2024,2,CAV 3 - 1 CEN,3·1·CEN
23,364.0,O Equilibrio,2024,2,CAV 4 - 1 IZQ,4·1·IZQ
23,349.0,O Luar Do Sil,2024,2,CAV 4 - 3 DER,4·3·DER
23,318.5,Ossian Capitel,2022,1,CAV 3 - 2 CEN,3·2·CEN
23,303.5,Otro cuento,2023,2,CAV 4 - 2 CEN,4·2·CEN
23,288.0,Pago de los abuelos Teiró,2022,1,CAV 4 - 0 DER,4·0·DER
23,273.0,Pazo Señorans,2015,1,CAV 4 - 1 DER,4·1·DER
23,257.5,Qué bonito cacareaba,2023,1,CAV 4 - 0 DER,4·0·DER
23,242.5,Remelluri blanco,2022,1,CAV 3 - 0 DER,3·0·DER
23,227.0,Remirez de Ganuza blanco,2016,2,CAV 3 - 3 CEN,3·3·CEN
23,212.0,San Roman Malvasía,2022,2,CAV 2 - 6 CEN,2·6·CEN
23,196.5,Sin nombre,2022,1,CAV 4 - 0 CEN,4·0·CEN
23,181.5,Sorte O soro,2022,2,CAV 4 - 3 IZQ,4·3·IZQ
23,166.0,Terroir al límit Pedra de Guix,2022,1,CAV 2 - 6 CEN,2·6·CEN
23,151.0,Trascuevas,2023,2,CAV 3 - 3 IZQ,3·3·IZQ
23,120.5,Ultreia Godello,2023,4,CAV 2 - 4 DER,2·4·DER
23,105.0,Valtuillle,2023,2,CAV 1 - 12 CEN,1·12·CEN
23,90.0,Vidonia,2024,2,CAV 4 - 0 IZQ,4·0·IZQ
23,74.5,Viña Tondonia,2013,2,CAV 3 - 3 DER,3·3·DER
23,59.5,Xesteiriña,2024,2,CAV 2 - 5 DER,2·5·DER
25,760.5,Batenfeld-Spanier Eisquell,2024,2,CAV 2 - 7 CEN,2·7·CEN
25,745.5,Bruno Colin Batard-Montrachet GC,2022,1,CAV 3 - 0 DER,3·0·DER
25,730.0,Carrillon Puligny Montrachet 1C Les Folatieres,2023,1,CAV 3 - 0 CEN,3·0·CEN
25,715.0,Cloudy Bay,2024,2,CAV 2 - 8 IZQ,2·8·IZQ
25,699.5,Coche-Dury Corton-Charlemagne GC,2016,1,CAV 3 - 0 DER,3·0·DER
25,669.0,DeMorgenzon Reserve Chenin,2023,1,CAV 3 - 0 DER,3·0·DER
25,638.5,DRC Montrachet,2019,1,CAV 2 - EXP CEN,2·EXP·CEN
25,623.5,Evening Land Salem,2021,2,CAV 2 - 7 IZQ,2·7·IZQ
25,608.0,Evening Land Seven Springs,2022,1,CAV 3 - 0 CEN,3·0·CEN
25,593.0,Kühling - Gillot Oppenheim,2020,1,CAV 3 - 0 IZQ,3·0·IZQ
25,577.5,Mandolás Oremus,2023,2,CAV 2 - 6 IZQ,2·6·IZQ
25,562.5,Michel Lafarge Meursault,2022,2,CAV 3 - 0 CEN,3·0·CEN
25,547.0,Pio Cesare,2024,2,CAV 2 - 7 IZQ,2·7·IZQ
25,532.0,Raats Chenin Blanc,2023,2,CAV 2 - 7 DER,2·7·DER
25,516.5,Sancerre Domaine Vacheron,2024,2,CAV 2 - 6 CEN,2·6·CEN
25,501.5,Tardieu Laurent Nobles Origines,,2,CAV 2 - 7 CEN,2·7·CEN
25,486.0,Tramin,2024,2,CAV 2 - 7 CEN,2·7·CEN
25,471.0,Vincent Girardin Bourgogne blanc Cuvée Saint Vincent,2023,4,CAV 2 - 6 DER,2·6·DER
25,455.5,Win 0%,,2,CAV 2 -1 IZQ,2·1·IZQ
25,425.0,Chivite 125 Rosado,2024,2,CAV 2 - 9 DER,2·9·DER
25,410.0,Dido La Soució Rosa,2023,2,CAV 2 - 9 CEN,2·9·CEN
25,394.5,Flor de Muga Rosado,2024,3,CAV 2 - 9 DER,2·9·DER
25,379.5,Marqués de Murrieta Primer Rose,2024,2,CAV 2 - 9 DER,2·9·DER
25,364.0,Palito V Clarete,2024,2,CAV 2 - 9 CEN,2·9·CEN
25,349.0,Pícaro del Águila Clarete,2023,2,CAV 2 - 9 DER,2·9·DER
25,334.0,Territorio Luthier Clarete,2020,2,CAV 2 - 9 IZQ,2·9·IZQ
25,318.5,XF de Sierra Cantabria,2024,2,CAV 2 - 10 DER,2·10·DER
25,288.0,Calafuria,2023,2,CAV 2 - 8 IZQ,2·8·IZQ
25,273.0,Miraval,2024,2,CAV 2 - 8 DER,2·8·DER
25,257.5,Peyrassol,2024,2,CAV 2 - 8 CEN,2·8·CEN
25,242.5,Source of joy,2024,1,CAV 2 - 8 CEN,2·8·CEN
25,227.0,Whispering Angel,2024,3,CAV 2 - 8 DER,2·8·DER
32,761.5,4 Kilos,2023,2,CAV 4 - 4B IZQ,4·4B·IZQ
