orden,excel_row,tipo,cava,area,balda,linea,sublinea,es_checklist,entrada_sin_checkbox,vino_sin_cantidad,cantidad,cantidad_raw,nota_post_cantidad,texto_excel,item_id,item_part,item_total_parts,item_entrada_completa,item_vino_sin_cantidad_completo,item_cantidad,item_cantidad_raw,item_nota_post_cantidad
1,1,TITULO,,,,,,,,,,,,UBICACIÓN VINOS PLANTA 1.,,,,,,,,
2,3,CAVA,CAVA A,,,,,,,,,,,CAVA A ,,,,,,,,
3,4,BALDA,CAVA A,,BALDA 1,,,,,,,,,BALDA 1 ,,,,,,,,
4,5,ITEM,CAVA A,,BALDA 1,,,False,Abel Mendoza Viura Rioja 2024 x4,Abel Mendoza Viura Rioja 2024,4,x4,,Abel Mendoza Viura Rioja 2024 x4 ,I0001,1,1,Abel Mendoza Viura Rioja 2024 x4,Abel Mendoza Viura Rioja 2024,4,x4,
5,6,ITEM,CAVA A,,BALDA 1,,,False,Pazo Barrantes 2022 x7,Pazo Barrantes 2022,7,x7,,Pazo Barrantes 2022 x7,I0002,1,1,Pazo Barrantes 2022 x7,Pazo Barrantes 2022,7,x7,
6,7,ITEM,CAVA A,,BALDA 1,,,False,Mauro Godello 2024 x2,Mauro Godello 2024,2,x2,,Mauro Godello 2024 x2,I0003,1,1,Mauro Godello 2024 x2,Mauro Godello 2024,2,x2,
7,9,BALDA,CAVA A,,BALDA 2,,,,,,,,,BALDA 2,,,,,,,,
8,10,ITEM,CAVA A,,BALDA 2,,,False,Grand Cru Corton- Charlemagne 2022 Vincent Girardin x1,Grand Cru Corton- Charlemagne 2022 Vincent Girardin,1,x1,,Grand Cru Corton- Charlemagne 2022 Vincent Girardin x1,I0004,1,1,Grand Cru Corton- Charlemagne 2022 Vincent Girardin x1,Grand Cru Corton- Charlemagne 2022 Vincent Girardin,1,x1,
9,11,ITEM,CAVA A,,BALDA 2,,,False,Grand Cru Montrachet 2022 Vincent Girardin x1,Grand Cru Montrachet 2022 Vincent Girardin,1,x1,,Grand Cru Montrachet 2022 Vincent Girardin x1,I0005,1,1,Grand Cru Montrachet 2022 Vincent Girardin x1,Grand Cru Montrachet 2022 Vincent Girardin,1,x1,
10,12,ITEM,CAVA A,,BALDA 2,,,False,Grand Cru Puligny- Montrachet Les Combettes 2022 Vincent Girardin x1,Grand Cru Puligny- Montrachet Les Combettes 2022 Vincent Girardin,1,x1,,Grand Cru Puligny- Montrachet Les Combettes 2022 Vincent Girardin x1,I0006,1,1,Grand Cru Puligny- Montrachet Les Combettes 2022 Vincent Girardin x1,Grand Cru Puligny- Montrachet Les Combettes 2022 Vincent Girardin,1,x1,
11,13,ITEM,CAVA A,,BALDA 2,,,False,Grand Cru Batard- Montrachet 2023 Vincent Girardin x1,Grand Cru Batard- Montrachet 2023 Vincent Girardin,1,x1,,Grand Cru Batard- Montrachet 2023 Vincent Girardin x1,I0007,1,1,Grand Cru Batard- Montrachet 2023 Vincent Girardin x1,Grand Cru Batard- Montrachet 2023 Vincent Girardin,1,x1,
12,14,ITEM,CAVA A,,BALDA 2,,,False,Ventoleiro Ribeiro 2023 x7,Ventoleiro Ribeiro 2023,7,x7,,Ventoleiro Ribeiro 2023 x7,I0008,1,1,Ventoleiro Ribeiro 2023 x7,Ventoleiro Ribeiro 2023,7,x7,
13,15,ITEM,CAVA A,,BALDA 2,,,False,Mauro Godello 2024 x3,Mauro Godello 2024,3,x3,,Mauro Godello 2024 x3,I0009,1,1,Mauro Godello 2024 x3,Mauro Godello 2024,3,x3,
14,17,BALDA,CAVA A,,BALDA 3,,,,,,,,,BALDA 3 ,,,,,,,,
15,18,ITEM,CAVA A,,BALDA 3,,,False,Murmuri 2024 Priorat x6,Murmuri 2024 Priorat,6,x6,,Murmuri 2024 Priorat x6,I0010,1,1,Murmuri 2024 Priorat x6,Murmuri 2024 Priorat,6,x6,
16,19,ITEM,CAVA A,,BALDA 3,,,False,As Sortes 2024 x2,As Sortes 2024,2,x2,,As Sortes 2024 x2,I0011,1,1,As Sortes 2024 x2,As Sortes 2024,2,x2,
17,20,ITEM,CAVA A,,BALDA 3,,,False,Francois Carillon 1611 Puligny- Montrachet 2023 Millesime 2023 x2,Francois Carillon 1611 Puligny- Montrachet 2023 Millesime 2023,2,x2,,Francois Carillon 1611 Puligny- Montrachet 2023 Millesime 2023 x2,I0012,1,1,Francois Carillon 1611 Puligny- Montrachet 2023 Millesime 2023 x2,Francois Carillon 1611 Puligny- Montrachet 2023 Millesime 2023,2,x2,
18,22,BALDA,CAVA A,,BALDA 4,,,,,,,,,BALDA 4,,,,,,,,
19,23,ITEM,CAVA A,,BALDA 4,,,False,Fiano Di Avellino CampoRe Reserva Terredora Dipaolo x2,Fiano Di Avellino CampoRe Reserva Terredora Dipaolo,2,x2,,Fiano Di Avellino CampoRe Reserva Terredora Dipaolo x2,I0013,1,1,Fiano Di Avellino CampoRe Reserva Terredora Dipaolo x2,Fiano Di Avellino CampoRe Reserva Terredora Dipaolo,2,x2,
20,24,ITEM,CAVA A,,BALDA 4,,,False,Deschants Saint-Joseph M. Chapoutier 2023 x3,Deschants Saint-Joseph M. Chapoutier 2023,3,x3,,Deschants Saint-Joseph M. Chapoutier 2023 x3,I0014,1,1,Deschants Saint-Joseph M. Chapoutier 2023 x3,Deschants Saint-Joseph M. Chapoutier 2023,3,x3,
