"nome","anada","bodega","tipo"
"Ch La Mission Haut Brion 22-","2022","Château La Mission Haut-Brion","Tinto"
"Ch Lafite Rothschild 03-","2003","Château Lafite-Rothschild","Tinto"
"Ch Lafite Rothschild 2000-","2000","Château Lafite-Rothschild","Tinto"
"Ch Lafite Rothschild 22-","2022","Château Lafite-Rothschild","Tinto"
"Ch Lafite Rothschild 90-","1990","Château Lafite-Rothschild","Tinto"
"Ch Lafite Rothschild Pauillac 15-","2015","Château Lafite-Rothschild","Tinto"
"Ch Lafite Rothschild Pauillac 17-","2017","Château Lafite-Rothschild","Tinto"
"Ch Lafite Rothschild Pauillac 18-","2018","Château Lafite-Rothschild","Tinto"
"Ch Lafite Rothschild Pauillac 19-","2019","Château Lafite-Rothschild","Tinto"
"Ch Lafite Rothschild Pauillac 20-","2020","Château Lafite-Rothschild","Tinto"
"Ch Lafite Rothschild Pauillac 21-","2021","Château Lafite-Rothschild","Tinto"
"Ch Lafite Rothschild Pauillac 82-","1982","Château Lafite-Rothschild","Tinto"
"Ch Lafleur Pomerol 20-","2020","Château Lafleur","Tinto"
"Ch Lafleur Pomerol 21-","2021","Château Lafleur","Tinto"
"Ch Lafleur Pomerol 22-","2022","Château Lafleur","Tinto"
"Ch Lascombes 22-","2022","Château Lascombes","Tinto"
"Ch Latour Pauillac 00-","2000","Château Latour","Tinto"
"Ch Latour Pauillac 03-","2003","Château Latour","Tinto"
"Ch Latour Pauillac 05-","2005","Château Latour","Tinto"
"Ch Latour Pauillac 09-","2009","Château Latour","Tinto"
"Ch Latour Pauillac 10-","2010","Château Latour","Tinto"
"Ch Latour Pauillac 17-","2017","Château Latour","Tinto"
"Ch Latour Pauillac 82-","1982","Château Latour","Tinto"
"Ch Latour Pauillac Les Forts 18-","2018","Château Latour","Tinto"
"Ch Le Bon Pasteur 22-","2022","Château Le Bon Pasteur","Tinto"
"Ch Leoville Barton Saint Julien 19-","2019","Château Léoville-Barton","Tinto"
"Ch Leoville Barton Saint Julien 20-","2020","Château Léoville-Barton","Tinto"
"Ch Leoville Las Cases 11-","2011","Château Léoville-Las Cases","Tinto"
"Ch Leoville Las Cases 22-","2022","Château Léoville-Las Cases","Tinto"
"Ch Leoville Las Cases Saint Julien 05-","2005","Château Léoville-Las Cases","Tinto"
"Ch Leoville Les Cases Saint Julien 00-","2000","Château Léoville-Las Cases","Tinto"
"Ch Leoville Les Cases Saint Julien 09-","2009","Château Léoville-Las Cases","Tinto"
"Ch Leoville Les Cases Saint Julien 10-","2010","Château Léoville-Las Cases","Tinto"
"Ch Leoville Les Cases Saint Julien 19-","2019","Château Léoville-Las Cases","Tinto"
"Ch Leoville Les Cases Saint Julien 20-","2020","Château Léoville-Las Cases","Tinto"
"Ch Leoville Les Cases Saint Julien 21-","2021","Château Léoville-Las Cases","Tinto"
"Ch Leoville Les Cases Saint Julien 96-","1996","Château Léoville-Las Cases","Tinto"
"Ch Leoville Poyferre Saint Julien 09-","2009","Château Léoville-Poyferre","Tinto"
"Ch Leoville Poyferre Saint Julien 19-","2019","Château Léoville-Poyferre","Tinto"
"Ch Leoville Poyferre Saint Julien 20-","2020","Château Léoville-Poyferre","Tinto"
"Ch Les Carmes Haut Brion 15-","2015","Château Les Carmes Haut-Brion","Tinto"
"Ch Les Carmes Haut Brion 22-","2022","Château Les Carmes Haut-Brion","Tinto"
"Ch L'Evangile 22-","2022","Château L´Evangile","Tinto"
"Ch Lynch Bages 18 -","2018","Château Lynch-Bages","Tinto"
"Ch Margaux 19-","2019","Château Margaux","Tinto"
"Ch Margaux 20-","2020","Château Margaux","Tinto"
"Ch Margaux 21-","2021","Château Margaux","Tinto"
"Ch Margaux 22-","2022","Château Margaux","Tinto"
"Ch Margaux 82-","1982","Château Margaux","Tinto"
"Ch Marquis D´Alesme 22-","2022","Château Marquis D´Alesme","Tinto"
"Ch Montrose 22-","2022","Château Montrose","Tinto"
"Ch Montrose St Estephe 05-","2005","Château Montrose","Tinto"
"Ch Montrose St Estephe 16-","2016","Château Montrose","Tinto"
"Ch Montrose St Estephe 96-","1996","Château Montrose","Tinto"
"Ch Mouton Rothschild 22-","2022","Château Mouton-Rothschild","Tinto"
"Ch Mouton Rothschild Pauillac 16-","2016","Château Mouton-Rothschild","Tinto"
"Ch Mouton Rothschild Pauillac 19-","2019","Château Mouton-Rothschild","Tinto"
"Ch Mouton Rothschild Pauillac 20-","2020","Château Mouton-Rothschild","Tinto"
"Ch Mouton Rothschild Pauillac 21-","2021","Château Mouton-Rothschild","Tinto"
"Ch Mouton Rothschild Pauillac 82-","1982","Château Mouton-Rothschild","Tinto"
"Ch Nenin 22-","2022","Château Nenin","Tinto"
"Ch Palmer 20-","2020","Château Palmer","Tinto"
"Ch Palmer 22-","2022","Château Palmer","Tinto"
"Ch Palmer Margaux 18-","2018","Château Palmer","Tinto"
"Ch Palmer Margaux 19-","2019","Château Palmer","Tinto"
"Ch Palmer Margaux 21-","2021","Château Palmer","Tinto"
"Ch Pape Clement 22-","2022","Château Pape Clement","Tinto"
"Ch Pavie 03-","2003","Château Pavie","Tinto"
"Ch Pavie 10-","2010","Château Pavie","Tinto"
"Ch Pavie 12-","2012","Château Pavie","Tinto"
"Ch Pavie 16-","2016","Château Pavie","Tinto"
"Ch Pavie Saint Emilion 00-","2000","Château Pavie","Tinto"
"Ch Pavie Saint Emilion 05-","2005","Château Pavie","Tinto"
"Ch Pavie Saint Emilion 15-","2015","Château Pavie","Tinto"
"Ch Pavie Saint Emilion 20-","2020","Château Pavie","Tinto"
